epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99863,0.42112,1.96421,0.86937,0.89159,0.99872,0.99169,0.95743,0.28179,0.43596,0.773,0.00017776,0.00017776,0.00017776
2,5.64451,0.392,0.46609,0.83059,0.95352,0.9904,0.995,0.93261,0.3456,0.46735,0.78111,0.000354531,0.000354531,0.000354531
3,8.23984,0.38972,0.43593,0.82607,0.96833,0.96463,0.9915,0.91623,0.40142,0.42439,0.78563,0.000518837,0.000518837,0.000518837
4,10.9225,0.39299,0.46021,0.82357,0.88537,0.95136,0.98856,0.91432,0.36266,0.57547,0.77964,0.000670677,0.000670677,0.000670677
5,13.4999,0.42383,0.48935,0.82946,0.727,0.60005,0.59853,0.49171,0.70053,2.91692,0.96796,0.000810052,0.000810052,0.000810052
6,16.0635,0.39543,0.44907,0.8267,0.68532,0.58931,0.59434,0.44754,1.01609,1.79869,1.12284,0.000927685,0.000927685,0.000927685
7,18.6254,0.38914,0.4766,0.82214,0.9102,0.96431,0.97989,0.91185,0.38698,1.29952,0.79063,0.000891022,0.000891022,0.000891022
8,21.1823,0.36947,0.45396,0.83478,0.98437,1,0.995,0.91269,0.39918,0.75609,0.78323,0.000854359,0.000854359,0.000854359
9,23.8563,0.36548,0.36601,0.82053,0.90114,1,0.995,0.93045,0.36516,0.70628,0.77507,0.000817696,0.000817696,0.000817696
10,26.4227,0.35572,0.33657,0.81987,0.99157,1,0.995,0.93695,0.34682,0.37664,0.76927,0.000781033,0.000781033,0.000781033
11,29.0101,0.33375,0.30891,0.81541,0.99709,1,0.995,0.97778,0.28317,0.25682,0.76605,0.00074437,0.00074437,0.00074437
12,31.6484,0.34215,0.30037,0.81944,0.99626,1,0.995,0.98539,0.2304,0.22699,0.75862,0.000707707,0.000707707,0.000707707
13,34.2815,0.3019,0.27574,0.80975,0.99666,1,0.995,0.97574,0.23903,0.21296,0.75908,0.000671044,0.000671044,0.000671044
14,36.9136,0.30462,0.27033,0.81101,0.99269,1,0.995,0.97654,0.24901,0.22121,0.76029,0.000634381,0.000634381,0.000634381
15,39.4691,0.3037,0.26749,0.81343,0.99566,1,0.995,0.98834,0.21144,0.19733,0.75816,0.000597718,0.000597718,0.000597718
16,42.0887,0.28887,0.24971,0.81429,0.99636,1,0.995,0.99067,0.19638,0.18414,0.7552,0.000561055,0.000561055,0.000561055
17,44.7231,0.27147,0.24612,0.79606,0.99709,1,0.995,0.98768,0.20078,0.18218,0.75523,0.000524392,0.000524392,0.000524392
18,47.3697,0.25237,0.23165,0.80437,0.99739,1,0.995,0.99223,0.17142,0.16781,0.75346,0.000487729,0.000487729,0.000487729
19,50.0191,0.24094,0.22188,0.80964,0.99792,1,0.995,0.99457,0.16438,0.16579,0.7528,0.000451066,0.000451066,0.000451066
20,52.6525,0.24073,0.21686,0.81202,0.99784,1,0.995,0.99346,0.16222,0.15207,0.75189,0.000414403,0.000414403,0.000414403
21,55.3462,0.18877,0.18904,0.7575,0.99761,1,0.995,0.99384,0.15961,0.15941,0.75226,0.00037774,0.00037774,0.00037774
22,57.9132,0.18571,0.18485,0.77587,0.99796,1,0.995,0.99411,0.17033,0.15616,0.75242,0.000341077,0.000341077,0.000341077
23,60.58,0.18444,0.17842,0.77195,0.99819,1,0.995,0.99475,0.15594,0.14788,0.7515,0.000304414,0.000304414,0.000304414
24,63.1997,0.17667,0.17977,0.76192,0.99822,1,0.995,0.995,0.14799,0.14571,0.75294,0.000267751,0.000267751,0.000267751
25,65.8261,0.17336,0.17695,0.76786,0.99827,1,0.995,0.99459,0.14521,0.14749,0.75291,0.000231088,0.000231088,0.000231088
26,68.3901,0.16297,0.1678,0.76625,0.99819,1,0.995,0.99451,0.14517,0.14955,0.75191,0.000194425,0.000194425,0.000194425
27,71.0422,0.16526,0.16527,0.76457,0.99787,1,0.995,0.994,0.1313,0.13588,0.75079,0.000157762,0.000157762,0.000157762
28,73.5954,0.16515,0.16657,0.77371,0.99793,1,0.995,0.99477,0.13091,0.13013,0.75122,0.000121099,0.000121099,0.000121099
29,76.2143,0.14796,0.15204,0.76518,0.99797,1,0.995,0.99477,0.1221,0.1238,0.75029,8.4436e-05,8.4436e-05,8.4436e-05
30,78.8592,0.14796,0.15194,0.75866,0.99791,1,0.995,0.99477,0.11789,0.12079,0.75038,4.7773e-05,4.7773e-05,4.7773e-05
1,3.27654,0.44977,2.08764,0.85656,0.94737,0.96967,0.98699,0.93178,0.34837,0.69885,0.78416,0.00021109,0.00021109,0.00021109
2,6.41249,0.43389,0.56612,0.82141,0.82591,0.98946,0.89192,0.83814,0.35793,1.11778,0.78222,0.000418991,0.000418991,0.000418991
3,9.6153,0.39387,0.48582,0.81618,0.96895,0.96581,0.99166,0.92366,0.3711,0.47432,0.78529,0.000612228,0.000612228,0.000612228
4,12.6891,0.40005,0.4859,0.82161,0.81038,0.48696,0.56778,0.51649,0.87476,1.91296,1.12412,0.000790799,0.000790799,0.000790799
5,15.7802,0.43515,0.56376,0.83647,0.83544,0.91169,0.95734,0.87158,0.48653,0.84788,0.84451,0.000954705,0.000954705,0.000954705
6,18.9269,0.45551,0.49141,0.82702,0.97701,1,0.995,0.92824,0.3839,0.66484,0.79421,0.000927685,0.000927685,0.000927685
7,21.9816,0.42131,0.42755,0.83081,0.98991,0.99661,0.99462,0.92495,0.35966,0.48727,0.77981,0.000891022,0.000891022,0.000891022
8,25.1136,0.36474,0.36422,0.81425,0.99397,0.99695,0.9949,0.91897,0.38026,0.39937,0.79007,0.000854359,0.000854359,0.000854359
9,28.1734,0.38027,0.35724,0.8159,0.99782,1,0.995,0.97145,0.28828,0.28522,0.77064,0.000817696,0.000817696,0.000817696
10,31.3213,0.35313,0.33408,0.81187,0.99706,1,0.995,0.97426,0.27199,0.27709,0.76762,0.000781033,0.000781033,0.000781033
11,34.459,0.347,0.32843,0.81087,0.99707,0.99877,0.995,0.97652,0.27075,0.26406,0.76939,0.00074437,0.00074437,0.00074437
12,37.5149,0.31461,0.2968,0.80133,0.99587,0.99694,0.995,0.98792,0.23447,0.24546,0.76512,0.000707707,0.000707707,0.000707707
13,40.8373,0.2938,0.27481,0.80213,0.99853,1,0.995,0.98108,0.23303,0.21915,0.76392,0.000671044,0.000671044,0.000671044
14,43.945,0.28628,0.2713,0.80437,0.99807,1,0.995,0.98084,0.23435,0.2195,0.76424,0.000634381,0.000634381,0.000634381
15,47.0995,0.29644,0.2692,0.8055,0.99832,1,0.995,0.98701,0.24533,0.21616,0.76545,0.000597718,0.000597718,0.000597718
16,50.242,0.28594,0.25972,0.80311,0.99829,0.99702,0.995,0.99113,0.20291,0.1979,0.76339,0.000561055,0.000561055,0.000561055
17,53.3945,0.27776,0.25843,0.80673,0.99483,0.99678,0.9949,0.98974,0.20645,0.19771,0.76138,0.000524392,0.000524392,0.000524392
18,56.3713,0.2713,0.24628,0.80098,0.99872,1,0.995,0.99044,0.22425,0.2054,0.76326,0.000487729,0.000487729,0.000487729
19,59.3653,0.26513,0.24655,0.80458,0.99871,1,0.995,0.99392,0.18779,0.17803,0.75926,0.000451066,0.000451066,0.000451066
20,62.4262,0.24571,0.22362,0.79893,0.99891,1,0.995,0.99219,0.1766,0.16506,0.75988,0.000414403,0.000414403,0.000414403
21,65.5932,0.20822,0.21184,0.77451,0.99876,1,0.995,0.9941,0.17069,0.17594,0.75821,0.00037774,0.00037774,0.00037774
1,1.60796,0.6355,3.74384,0.90141,0.00854,0.32077,0.1134,0.10775,0.263,3.66764,0.77151,0.0001111,0.0001111,0.0001111
2,2.73877,0.50001,2.12594,0.86908,0.01807,0.95,0.29963,0.2687,0.40547,3.14798,0.77423,0.000231,0.000231,0.000231
3,3.92134,0.44196,1.44639,0.85369,0.98703,0.16614,0.52004,0.49149,0.33568,2.86567,0.76795,0.000348481,0.000348481,0.000348481
4,5.09213,0.42683,1.01663,0.8342,1,0.17536,0.71047,0.65516,0.34507,2.80247,0.77517,0.000463541,0.000463541,0.000463541
5,6.24798,0.38865,0.7888,0.82562,1,0.28366,0.77569,0.71221,0.3737,2.435,0.78688,0.000576182,0.000576182,0.000576182
6,7.44876,0.38776,0.65186,0.81646,1,0.35697,0.93727,0.88233,0.3411,2.32672,0.78416,0.000686404,0.000686404,0.000686404
