epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.95198,0.63043,3.96692,0.87216,0.00174,0.09423,0.00645,0.00448,0.23196,3.8081,0.80322,6.666e-05,6.666e-05,6.666e-05
2,1.56562,0.49056,3.05394,0.83728,0.01281,0.64615,0.17848,0.1507,0.39991,3.52959,0.76614,0.000143,0.000143,0.000143
3,2.15284,0.50355,2.01914,0.84816,0.01575,0.81538,0.34375,0.30705,0.38378,3.25857,0.76022,0.0002178,0.0002178,0.0002178
1,3.06385,0.63043,3.96692,0.87216,0.00174,0.09423,0.00645,0.00448,0.23196,3.8081,0.80322,6.666e-05,6.666e-05,6.666e-05
2,5.4219,0.49056,3.05394,0.83728,0.01281,0.64615,0.17848,0.1507,0.39991,3.52959,0.76614,0.000143,0.000143,0.000143
3,7.92637,0.50355,2.01914,0.84816,0.01575,0.81538,0.34375,0.30705,0.38378,3.25857,0.76022,0.0002178,0.0002178,0.0002178
4,10.3209,0.49951,1.59675,0.84715,0.01718,0.89231,0.38711,0.32669,0.37015,3.18551,0.7639,0.000291061,0.000291061,0.000291061
5,12.8126,0.46134,1.33725,0.83176,1,0.08744,0.47815,0.41781,0.38079,3.05876,0.76429,0.000362781,0.000362781,0.000362781
6,15.2917,0.44013,1.07455,0.82044,1,0.101,0.63031,0.58348,0.33703,2.93968,0.77107,0.000432962,0.000432962,0.000432962
7,17.6547,0.43091,0.87144,0.82679,0.99395,0.07229,0.54604,0.50954,0.32074,3.12733,0.77279,0.000501603,0.000501603,0.000501603
8,20.1683,0.37609,0.75155,0.81607,1,0.04807,0.7566,0.70933,0.32849,2.99456,0.77913,0.000568704,0.000568704,0.000568704
9,22.6544,0.36403,0.65982,0.80097,1,0.12617,0.85596,0.8138,0.31903,2.66254,0.78215,0.000634265,0.000634265,0.000634265
10,24.99,0.39089,0.68422,0.82285,0.98328,0.26056,0.86713,0.83886,0.29526,2.54324,0.78572,0.000698287,0.000698287,0.000698287
11,27.5318,0.37391,0.67096,0.81753,0.91313,0.4256,0.89206,0.85699,0.31055,2.2185,0.78343,0.000760768,0.000760768,0.000760768
12,30.0203,0.3625,0.61689,0.80691,0.90984,0.80749,0.94727,0.90603,0.30747,1.46295,0.78766,0.00082171,0.00082171,0.00082171
13,32.391,0.36776,0.6003,0.80304,0.97984,0.85642,0.98589,0.94286,0.32469,1.38149,0.78856,0.000881112,0.000881112,0.000881112
14,34.917,0.36751,0.60196,0.80185,0.9889,0.96949,0.99068,0.95016,0.30442,1.23391,0.78355,0.000938974,0.000938974,0.000938974
15,37.3972,0.35319,0.59878,0.81327,0.97311,0.99779,0.989,0.96775,0.27996,0.86651,0.78219,0.000957015,0.000957015,0.000957015
16,39.1168,0.35178,0.53628,0.80036,0.98141,0.99962,0.99372,0.9652,0.27499,0.68256,0.78114,0.000946016,0.000946016,0.000946016
17,39.7707,0.32823,0.54317,0.79839,0.9799,0.99662,0.995,0.97009,0.28129,0.67714,0.78239,0.000935018,0.000935018,0.000935018
18,40.6033,0.33069,0.53114,0.80191,0.99038,0.99918,0.995,0.97197,0.26867,0.63831,0.78175,0.000924019,0.000924019,0.000924019
19,41.2304,0.32209,0.51332,0.79747,0.99551,0.99931,0.995,0.98062,0.26105,0.52371,0.7807,0.00091302,0.00091302,0.00091302
20,41.8467,0.32345,0.50624,0.80524,0.98708,0.99948,0.995,0.98002,0.24281,0.49677,0.77942,0.000902021,0.000902021,0.000902021
21,42.4293,0.33525,0.50763,0.80128,0.98607,0.99584,0.995,0.97309,0.26482,0.48093,0.78188,0.000891022,0.000891022,0.000891022
22,42.9878,0.31609,0.4848,0.80428,0.99107,0.99839,0.995,0.97589,0.24392,0.41866,0.77815,0.000880023,0.000880023,0.000880023
23,43.5493,0.32766,0.48394,0.80514,0.99376,1,0.995,0.98604,0.24153,0.40371,0.77732,0.000869024,0.000869024,0.000869024
24,44.1272,0.30027,0.46461,0.79796,0.99235,1,0.995,0.98796,0.21155,0.4033,0.77483,0.000858025,0.000858025,0.000858025
25,44.6863,0.29798,0.47255,0.802,0.99125,1,0.995,0.99002,0.20165,0.38683,0.77443,0.000847026,0.000847026,0.000847026
26,45.2582,0.30238,0.48058,0.80015,0.99661,1,0.995,0.98066,0.23578,0.34729,0.77985,0.000836027,0.000836027,0.000836027
27,45.8951,0.31592,0.46428,0.79433,0.99666,1,0.995,0.98694,0.22174,0.32525,0.77684,0.000825029,0.000825029,0.000825029
28,46.4439,0.31213,0.47244,0.82063,0.99568,1,0.995,0.98604,0.22997,0.31913,0.77876,0.00081403,0.00081403,0.00081403
29,47.0293,0.28687,0.44586,0.79681,0.99698,1,0.995,0.9858,0.21406,0.31958,0.77846,0.000803031,0.000803031,0.000803031
